Counter,Authors,Title,Publication,Year,Dates,Category,Subject,File,Volume,Pages,Address,Publisher,Editor,Citation,ReferredByURL,GoogleScholarURL
47,Ghassen Ben Brahim#Bilal Khan#Ala Al-Fuqaha#Mohsen Guizani,Duplicity versus Strength: Reducing the Bit Error Rate of Power-Budgeted Connections in Wireless Ad-hoc Networks,International Journal of Sensor Networks,2006,NULL,Journal,Wireless networks,pdf/31.pdf,4(3),145-154,NULL,Inderscience,NULL,0,"http://scholar.google.com/scholar?cites=10264879297363163589&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=10264879297363163589&hl=en&as_sdt=5,33&sciodt=0,33"
50,Bilal Khan,Computation with Polytopal Uncertainty in d-Dimensional Euclidean Space,Conference on Systemics Cybernetics and Informatics,2005,NULL,Conference,Methods,pdf/23.pdf,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
51,Bilal Khan#Dardo Kleiner#David Talmage,The Buck Stops Here: Trust Management in Multi-Agent Systems with Accountability,IEEE Symposium on Multi-Agent Security and Survivability,2004,"August 30-31, 2004",Conference,Computer networks,pdf/21.pdf,NULL,46 - 54,"Philadelphia, Pennsylvania",IEEE,NULL,0,None,"http://scholar.google.com/scholar?cluster=14267082855122069301&hl=en&as_sdt=0,33"
52,Kiran Bhutani#Bilal Khan#Birendro Roy,Tradeoffs in Load Balancing and Communication Minimization for Multi-Agent Systems,International Conference on Parallel and Distributed Computing and Systems,2002,"November 4 �?? 6, 2002 ",Conference,Computer networks,pdf/15.pdf,NULL,NULL,"Massachusetts Institute of Technology, Cambridge, Massachusetts",Acta,NULL,0,None,"http://scholar.google.com/scholar?cluster=9210463958602341383&hl=en&as_sdt=0,33"
53,Kiran Bhutani#Bilal Khan,Minimizing Communication Costs in Hierarchical Multi-Agent Systems,Joint Conference on Information Sciences JCIS,2002,NULL,Conference,Computer networks,pdf/14.pdf,NULL,1435-1442,"Chapel Hill, North Carolina",NULL,NULL,0,"http://scholar.google.com/scholar?cites=17075951555308590657&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=17075951555308590657&hl=en&as_sdt=5,33&sciodt=0,33"
54,Richard Randall#Bilal Khan,Similarity Measures for Tonal Models,9th International Conference on Music Perception and Cognition,2006,NULL,Conference,Music,pdf/25.pdf,NULL,NULL,"Bologna, Italy",Bononia University Press,"M. Baroni, A. R. Addessi, R. Casterina, and M. Costa",0,NULL,NULL
55,Richard Randall#Bilal Khan,Fred Lerdahl's Tonal Pitch Space Model and associated metric spaces,Journal of Mathematics and Music,2010,NULL,Journal,Music,pdf/62.pdf,4(3),121-131,NULL,Taylor and Francis,NULL,0,"http://scholar.google.com/scholar?cites=8374581586762103393&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=8374581586762103393&hl=en&as_sdt=5,33&sciodt=0,33"
58,Zeki Bilgin#Bilal Khan,Dynamic power budget distribution schemes that optimize connection lifetimes in MANETS,International Journal of Autonomous and Adaptive Communication Systems,2010,NULL,Journal,Wireless networks,pdf/61.pdf,5(4),360-385,NULL,Inderscience,NULL,0,None,"http://scholar.google.com/scholar?cluster=428007017531432072&hl=en&as_sdt=0,33"
59,Osama Awwad#Ala Al-Fuqaha#Ghassen Ben Brahim#Bilal Khan#Ammar Rayes,Distributed Topology Control in Large-Scale Hybrid RF/FSO Networks: SIMT GPU-Based Particle Swarm Optimization Approach,International Journal of Communication Systems,2013,NULL,Journal,Optical networks,pdf/60.pdf,26(7),888-911,NULL,Wiley,NULL,0,"http://scholar.google.com/scholar?cites=8789866759109584912&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=8789866759109584912&hl=en&as_sdt=5,33&sciodt=0,33"
60,Ala Al-Fuqaha#Bilal Khan#Mohsen Guizani#Ammar Rayes#Osama Awwad#Ghassen Ben Brahim,Opportunistic Channel Selection Strategy for Better QoS in Cooperative Networks with Cognitive Radio Capabilities,IEEE Journal of Selected Areas in Communications,2008,NULL,Journal,Wireless networks,pdf/46.pdf,NULL,156 - 167,NULL,NULL,IEEE,0,"http://scholar.google.com/scholar?cites=1948080682734378370&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=1948080682734378370&hl=en&as_sdt=5,33&sciodt=0,33"
